Source_ID,Target_ID,Source_File,Target_File,Source_Member,Target_Member,Source_Member_Type,Target_Member_Type,Dependency_Type,Dependency_Count,Is_Member_Level,Source_Member_ID,Target_Member_ID,Source_Module,Target_Module
470,487,lucene/src/java/org/apache/lucene/analysis/NumericTokenStream.java,lucene/src/java/org/apache/lucene/analysis/tokenattributes/TermToBytesRefAttribute.java,,TermToBytesRefAttribute,file,type,Import,1,FALSE,,10083,analysis,analysis
470,487,lucene/src/java/org/apache/lucene/analysis/NumericTokenStream.java,lucene/src/java/org/apache/lucene/analysis/tokenattributes/TermToBytesRefAttribute.java,reflectWith,TermToBytesRefAttribute,function,type,Use,1,TRUE,9818,10083,analysis,analysis
470,487,lucene/src/java/org/apache/lucene/analysis/NumericTokenStream.java,lucene/src/java/org/apache/lucene/analysis/tokenattributes/TermToBytesRefAttribute.java,NumericTermAttributeImpl,TermToBytesRefAttribute,type,type,Implement,1,TRUE,9828,10083,analysis,analysis
470,485,lucene/src/java/org/apache/lucene/analysis/NumericTokenStream.java,lucene/src/java/org/apache/lucene/analysis/tokenattributes/PositionIncrementAttribute.java,incrementToken,setPositionIncrement,function,function,Call,1,TRUE,9816,10067,analysis,analysis
470,485,lucene/src/java/org/apache/lucene/analysis/NumericTokenStream.java,lucene/src/java/org/apache/lucene/analysis/tokenattributes/PositionIncrementAttribute.java,,PositionIncrementAttribute,file,type,Import,1,FALSE,,10068,analysis,analysis
470,485,lucene/src/java/org/apache/lucene/analysis/NumericTokenStream.java,lucene/src/java/org/apache/lucene/analysis/tokenattributes/PositionIncrementAttribute.java,NumericTokenStream,PositionIncrementAttribute,type,type,Use,1,TRUE,9829,10068,analysis,analysis
470,485,lucene/src/java/org/apache/lucene/analysis/NumericTokenStream.java,lucene/src/java/org/apache/lucene/analysis/tokenattributes/PositionIncrementAttribute.java,NumericTokenStream,PositionIncrementAttribute,type,type,Contain,1,TRUE,9829,10068,analysis,analysis
538,606,lucene/src/java/org/apache/lucene/index/FreqProxTermsWriter.java,lucene/src/java/org/apache/lucene/index/Term.java,appendPostings,Term,function,type,Call,2,TRUE,11652,13950,index,index
538,606,lucene/src/java/org/apache/lucene/index/FreqProxTermsWriter.java,lucene/src/java/org/apache/lucene/index/Term.java,appendPostings,createTerm,function,function,Call,2,TRUE,11652,13943,index,index
538,606,lucene/src/java/org/apache/lucene/index/FreqProxTermsWriter.java,lucene/src/java/org/apache/lucene/index/Term.java,appendPostings,Term,function,type,Create,1,TRUE,11652,13950,index,index
538,606,lucene/src/java/org/apache/lucene/index/FreqProxTermsWriter.java,lucene/src/java/org/apache/lucene/index/Term.java,segDeletes,Term,var,type,Use,1,TRUE,11687,13950,index,index
538,606,lucene/src/java/org/apache/lucene/index/FreqProxTermsWriter.java,lucene/src/java/org/apache/lucene/index/Term.java,segDeletes,Term,var,type,Parameter,1,TRUE,11687,13950,index,index
538,606,lucene/src/java/org/apache/lucene/index/FreqProxTermsWriter.java,lucene/src/java/org/apache/lucene/index/Term.java,appendPostings,Term,function,type,Contain,1,TRUE,11652,13950,index,index
679,889,lucene/src/java/org/apache/lucene/index/codecs/simpletext/SimpleTextFieldsWriter.java,lucene/src/java/org/apache/lucene/util/BytesRef.java,SimpleTextFieldsWriter,BytesRef,type,type,Call,8,TRUE,16155,21904,index,util
679,889,lucene/src/java/org/apache/lucene/index/codecs/simpletext/SimpleTextFieldsWriter.java,lucene/src/java/org/apache/lucene/util/BytesRef.java,getComparator,getUTF8SortedAsUnicodeComparator,function,function,Call,8,TRUE,16149,21897,index,util
679,889,lucene/src/java/org/apache/lucene/index/codecs/simpletext/SimpleTextFieldsWriter.java,lucene/src/java/org/apache/lucene/util/BytesRef.java,,BytesRef,file,type,Import,1,FALSE,,21904,index,util
679,889,lucene/src/java/org/apache/lucene/index/codecs/simpletext/SimpleTextFieldsWriter.java,lucene/src/java/org/apache/lucene/util/BytesRef.java,SimpleTextFieldsWriter,BytesRef,type,type,Create,7,TRUE,16155,21904,index,util
679,889,lucene/src/java/org/apache/lucene/index/codecs/simpletext/SimpleTextFieldsWriter.java,lucene/src/java/org/apache/lucene/util/BytesRef.java,write,length,function,var,Use,7,TRUE,16154,21925,index,util
