Source_ID,Target_ID,Source_File,Target_File,Source_Member,Target_Member,Source_Member_Type,Target_Member_Type,Dependency_Type,Dependency_Count,Is_Member_Level,Source_Member_ID,Target_Member_ID,Source_Module,Target_Module
162,48,src/com/eteks/sweethome3d/viewcontroller/VideoController.java,src/com/eteks/sweethome3d/model/Home.java,VideoController,Home,function,type,Use,1.0,True,9801.0,2209,sweetHome3DViewController,sweetHome3DModel
162,48,src/com/eteks/sweethome3d/viewcontroller/VideoController.java,src/com/eteks/sweethome3d/model/Home.java,VideoController,Home,function,type,Parameter,1.0,True,9801.0,2209,sweetHome3DViewController,sweetHome3DModel
162,48,src/com/eteks/sweethome3d/viewcontroller/VideoController.java,src/com/eteks/sweethome3d/model/Home.java,VideoController,Home,type,type,Contain,1.0,True,9822.0,2209,sweetHome3DViewController,sweetHome3DModel
6,9,src/com/eteks/sweethome3d/applet/AppletContentManager.java,src/com/eteks/sweethome3d/applet/HomeAppletRecorder.java,showOpenDialog,HomeAppletRecorder,function,type,Cast,2.0,True,343.0,446,sweetHome3DApplet,sweetHome3DApplet
6,9,src/com/eteks/sweethome3d/applet/AppletContentManager.java,src/com/eteks/sweethome3d/applet/HomeAppletRecorder.java,showOpenDialog,getAvailableHomes,function,function,Call,1.0,True,343.0,443,sweetHome3DApplet,sweetHome3DApplet
6,9,src/com/eteks/sweethome3d/applet/AppletContentManager.java,src/com/eteks/sweethome3d/applet/HomeAppletRecorder.java,showOpenDialog,HomeAppletRecorder,function,type,Use,1.0,True,343.0,446,sweetHome3DApplet,sweetHome3DApplet
101,132,src/com/eteks/sweethome3d/swing/ImportedFurnitureWizardStepsPanel.java,src/com/eteks/sweethome3d/tools/TemporaryURLContent.java,run,copyToTemporaryURLContent,function,function,Call,3.0,True,5139.0,7496,sweetHome3DSwing,sweetHome3DTools
101,132,src/com/eteks/sweethome3d/swing/ImportedFurnitureWizardStepsPanel.java,src/com/eteks/sweethome3d/tools/TemporaryURLContent.java,run,TemporaryURLContent,function,type,Call,3.0,True,5139.0,7497,sweetHome3DSwing,sweetHome3DTools
101,132,src/com/eteks/sweethome3d/swing/ImportedFurnitureWizardStepsPanel.java,src/com/eteks/sweethome3d/tools/TemporaryURLContent.java,copyToTemporaryOBJContent,TemporaryURLContent,function,type,Call,3.0,True,5122.0,7497,sweetHome3DSwing,sweetHome3DTools
101,132,src/com/eteks/sweethome3d/swing/ImportedFurnitureWizardStepsPanel.java,src/com/eteks/sweethome3d/tools/TemporaryURLContent.java,,TemporaryURLContent,file,type,Import,1.0,False,,7497,sweetHome3DSwing,sweetHome3DTools
